sample,precise,max_cutoff,max_num,error_rate
sample195,90,1,989,0.00446901
sample194,90,1,842,0.01054644
sample193,90,1,1045,0.0047182
sample197,90,1,1023,0.00294066
sample196,90,1,1010,0.00254733
sample198,90,1,939,0.00388919
sample200,90,1,740,0.00885177
sample199,90,1,897,0.00706892
sample201,90,1,949,0.00641026
sample202,90,1,936,0.00666176
sample205,90,0,0,0.02280926
sample203,90,1,956,0.00734331
sample204,90,1,980,0.00576529
sample206,90,1,1035,0.00667784
sample207,90,1,1022,0.00380819
sample210,90,1,754,0.00651419
sample208,90,1,972,0.00522444
sample209,90,1,1014,0.00437886
sample211,90,1,832,0.00863115
sample212,90,1,923,0.00632203
sample214,90,1,22,0.01970443
sample215,90,1,63,0.01789137
sample213,90,1,911,0.00925648
sample216,90,1,373,0.01040883
sample217,90,0,1045,0.01561714
sample219,90,0,1079,0.00742683
sample218,90,0,1083,0.00360186
sample220,90,0,1090,0.00700555
sample223,90,1,107,0.01518987
sample221,90,0,1072,0.01397879
sample222,90,1,1062,0.00159355
sample224,90,1,1004,0.00926518
sample226,90,2,177,0.00350765
sample225,90,1,1024,0.00319394
sample227,90,1,1083,0.00075038
sample228,90,1,1005,0.00205398
sample232,90,1,73,0.00238284
sample229,90,0,1063,0.01184387
sample230,90,1,1047,0.00127174
sample231,90,1,1075,0.00773121
sample235,90,1,247,0.01385928
sample233,90,1,957,0.00265434
sample234,90,1,1035,0.00156729
sample237,90,1,289,0.01624165
sample236,90,1,1053,0.00141886
sample238,90,1,670,0.00631828
sample240,90,1,273,0.01524648
sample239,90,0,1061,0.01741755
sample241,90,1,319,0.01120864
sample242,90,0,1024,0.01534728
sample244,90,1,591,0.00720661
sample243,90,1,738,0.00424561
sample246,90,1,607,0.00619463
sample245,90,1,710,0.00817828
sample247,90,1,929,0.00332725
sample248,90,1,996,0.00253693
sample249,90,1,1044,0.0012588
sample250,90,1,950,0.00258087
sample251,90,1,821,0.00543781
sample255,90,1,125,0.01760325
sample256,90,2,21,0.0
sample252,90,1,1063,0.00237501
sample253,90,1,487,0.01086957
sample254,90,1,1043,0.00168215
sample260,90,1,64,0.0177805
sample257,90,1,142,0.0141863
sample259,90,1,399,0.00964126
sample258,90,1,895,0.00334896
sample261,90,0,1054,0.01435998
sample263,90,0,1068,0.01314109
sample262,90,1,852,0.00306574
sample264,90,1,969,0.00272242
sample265,90,1,1012,0.00209226
sample266,90,1,768,0.00506668
sample268,90,1,678,0.00433287
sample267,90,1,202,0.01281782
sample269,90,1,1047,0.00184883
sample271,90,2,32,0.00253807
sample270,90,1,295,0.01293823
sample272,90,1,627,0.00614795
sample275,90,2,33,0.00370828
sample273,90,1,948,0.00262808
sample274,90,1,338,0.01158301
sample278,90,2,24,0.00157233
sample277,90,1,97,0.01342539
sample276,90,1,1072,0.00159145
sample279,90,1,329,0.00968032
sample281,90,1,86,0.01674641
sample280,90,2,86,0.00489237
sample283,90,1,13,0.01209677
sample282,90,1,262,0.01184
sample285,90,1,336,0.01167169
sample284,90,1,658,0.00729251
sample286,90,1,230,0.01696641
sample287,90,1,924,0.00324879
sample288,90,1,680,0.01220759
sample290,90,6,1087,0.00029697
sample289,90,2,1081,0.00051108
sample291,90,1,1055,0.00264241
sample292,90,1,1078,0.00358053
sample293,90,5,1090,0.00024648
sample294,90,2,1079,0.00057997
sample296,90,2,1099,0.00064946
sample295,90,1,1091,0.00247456
sample297,90,0,1090,0.01519676
sample298,90,0,1102,0.00736939
sample299,90,1,1025,0.00281399
sample301,90,1,984,0.00334742
sample300,90,1,1031,0.00129686
sample302,90,1,1014,0.00184296
sample303,90,1,1014,0.00178891
