sample,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,pow1,pow2,pow3,pow4,pow5,pow6,pow7,pow8,pow9,pow10,total,precise
A1,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.07272727272727272,0.09090909090909091,0.10909090909090909,0.12727272727272726,0.14545454545454545,0.16363636363636364,0.18181818181818182,0.8858426386955919,0.6239968831583285,0.3688398773637053,0.23482764640914827,0.20770437427357752,0.19840249603048105,0.18341835512771007,0.16793235965309444,0.15533600840472064,0.14518350022816995,5939314,90
A2,0.004739336492890996,0.009478672985781991,0.014218009478672987,0.018957345971563982,0.023696682464454978,0.028436018957345974,0.03317535545023697,0.037914691943127965,0.04265402843601896,0.047393364928909956,0.99561431299976,0.9826213569310491,0.9614499324800284,0.9327872857188048,0.8975284264884319,0.8567236422799519,0.8115233831386864,0.7631246383064227,0.7127236034369739,0.6614778582796079,8018728,90
B1,0.0005861664712778429,0.0017584994138335286,0.0029308323563892145,0.003516998827667057,0.004689331770222743,0.0023446658851113715,0.005275498241500586,0.0041031652989449,0.005861664712778429,0.006447831184056271,0.6251764263202757,0.5270564979851854,0.4099727276540997,0.4075257810460711,0.3918023734004504,0.3885805323640546,0.38511352511905184,0.38477809812807434,0.3788745518455209,0.3755159986027018,148310,90
B2,0.0007468259895444362,0.0022404779686333084,0.002987303958177745,0.004480955937266617,0.005227781926811053,0.00597460791635549,0.003734129947722181,0.006721433905899926,0.008215085884988798,0.008961911874533234,0.6704846717457731,0.4564517294064762,0.3727981388543186,0.3643235939574574,0.3453593899183938,0.33642577170772614,0.33607320443399225,0.3322014018680175,0.3299742021491379,0.3298786746486053,199725,90
C1,0.015625,0.03125,0.046875,0.0625,0.078125,0.09375,0.109375,0.125,0.140625,0.15625,0.9690621436105866,0.8836360120950623,0.7627363097094887,0.6299260352650856,0.5062768489645314,0.4057772601948101,0.33349882311899365,0.2864122326261895,0.25699943503522066,0.23780417006643773,8512239,90
C2,0.009259259259259259,0.018518518518518517,0.027777777777777776,0.037037037037037035,0.046296296296296294,0.05555555555555555,0.06481481481481481,0.07407407407407407,0.08333333333333333,0.09259259259259259,0.9962549527719653,0.9851677180283333,0.9671557656186514,0.9428829744845872,0.9132107844253425,0.8791400009891176,0.841747957567327,0.8021270316741024,0.7613294315132029,0.7203216281937869,14190846,90
D1,0.023255813953488372,0.046511627906976744,0.06976744186046512,0.09302325581395349,0.11627906976744186,0.13953488372093023,0.16279069767441862,0.18604651162790697,0.20930232558139533,0.23255813953488372,0.8491846415716867,0.53226837955552,0.28893133376107294,0.22027540598695197,0.211389072915969,0.1974449002169203,0.18115337761586278,0.16669485917369892,0.15567605392674955,0.14696848967722037,5453949,90
D2,0.007936507936507936,0.031746031746031744,0.023809523809523808,0.015873015873015872,0.03968253968253968,0.047619047619047616,0.05555555555555555,0.06349206349206349,0.07142857142857142,0.07936507936507936,0.7257489432115434,0.27318235567211074,0.24907320246360656,0.23579699031943088,0.20720849446912354,0.18642395925434962,0.1771699569615958,0.16389594358131987,0.1533041028880447,0.1447804847514553,1625752,90
A1,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.07272727272727272,0.09090909090909091,0.10909090909090909,0.12727272727272726,0.14545454545454545,0.16363636363636364,0.18181818181818182,0.8858426386955919,0.6239968831583285,0.3688398773637053,0.23482764640914827,0.20770437427357752,0.19840249603048105,0.18341835512771007,0.16793235965309444,0.15533600840472064,0.14518350022816995,5939314,95
A2,0.004739336492890996,0.009478672985781991,0.014218009478672987,0.018957345971563982,0.023696682464454978,0.028436018957345974,0.03317535545023697,0.037914691943127965,0.04265402843601896,0.047393364928909956,0.99561431299976,0.9826213569310491,0.9614499324800284,0.9327872857188048,0.8975284264884319,0.8567236422799519,0.8115233831386864,0.7631246383064227,0.7127236034369739,0.6614778582796079,8018728,95
